Date, Minutes Read, Views, Visitors
7/9/2018,2946,1883,1019
7/10/2018,3456,2155,1625
7/11/2018,2919,1838,1894
7/12/2018,2818,1901,1631
7/13/2018,2700,1840,1646
7/14/2018,1720,1144,1593
7/15/2018,1602,1103,985
7/16/2018,2853,1745,931
7/17/2018,2541,1786,1538
7/18/2018,2773,1917,1533
7/19/2018,2783,1950,1669
7/20/2018,2011,1492,1694
7/21/2018,1220,895,1311
7/22/2018,982,924,764
7/23/2018,1914,1479,790
7/24/2018,1774,1541,1287
7/25/2018,1668,1475,1308
7/26/2018,1801,1482,1270
7/27/2018,1662,1281,1289
7/28/2018,1010,778,1097
7/29/2018,1037,846,696
7/30/2018,1746,1434,740
7/31/2018,1757,1432,1258
8/1/2018,1724,1450,1233
8/2/2018,1979,1485,1243
8/3/2018,1438,1268,1245
8/4/2018,974,824,1094
8/5/2018,944,858,729
8/6/2018,1556,1303,738
8/7/2018,230,241,1103
